age,workclass,education,marital_status,occupation,relationship,race,sex,hours_per_week,income
Senior,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,Middle,<=50K
Young-adult,Private,Bachelors,Married-civ-spouse,Tech-support,Partner,White,Female,Full-time,>50K
Young-adult,Private,Some-college,Never-married,Sales,Not-in-family,White,Female,Full-time,<=50K
Mid-adult,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Mid-adult,State-gov,HS-grad,Divorced,Machine-op-inspct,Own-child,White,Male,Full-time,<=50K
Middle-age,Private,Some-college,Widowed,Exec-managerial,Unmarried,White,Female,Full-time,<=50K
Mid-adult,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,Full-time,<=50K
Young-adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Partner,Black,Male,Full-time,<=50K
Young-adult,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,Full-time,<=50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Mid-adult,Self-emp-not-inc,HS-grad,Divorced,Farming-fishing,Not-in-family,White,Male,Insanity,<=50K
Middle-age,Private,Some-college,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Young-adult,Private,Assoc-voc,Never-married,Other-service,Own-child,White,Female,Part-time,<=50K
Middle-age,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Senior,Private,HS,Married-civ-spouse,Prof-specialty,Partner,Black,Male,Full-time,<=50K
Mid-adult,Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,Full-time,<=50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Partner,White,Male,Full-time,<=50K
Young-adult,Private,Some-college,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Young-adult,Federal-gov,Bachelors,Never-married,Tech-support,Not-in-family,White,Male,Full-time,<=50K
Mid-adult,Private,Some-college,Divorced,Sales,Own-child,White,Male,Middle,<=50K
Middle-age,Federal-gov,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Exec-managerial,Partner,White,Male,Middle,<=50K
Young-adult,Private,Middle,Separated,Other-service,Own-child,White,Male,Full-time,<=50K
Mid-adult,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Adm-clerical,Partner,White,Female,Full-time,<=50K
Middle-age,Private,HS,Married-civ-spouse,Transport-moving,Partner,White,Male,Full-time,<=50K
Middle-age,Private,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Middle-age,Private,HS-grad,Married-civ-spouse,Adm-clerical,Partner,White,Female,Full-time,<=50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Other-service,Partner,Asian-Pac-Islander,Male,Full-time,<=50K
Middle-age,Private,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Young-adult,Federal-gov,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,Full-time,<=50K
Senior,Self-emp-inc,Assoc-voc,Married-civ-spouse,Craft-repair,Partner,White,Male,Part-time,<=50K
Middle-age,Local-gov,Prof-school,Separated,Prof-specialty,Unmarried,White,Female,Full-time,<=50K
Middle-age,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,Full-time,<=50K
Young-adult,Private,Some-college,Never-married,Sales,Own-child,Black,Male,Middle,<=50K
Young-adult,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Male,Full-time,<=50K
Middle-age,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,Full-time,<=50K
Middle-age,Private,Assoc-acdm,Married-civ-spouse,Sales,Partner,White,Male,Insanity,>50K
Young-adult,Private,Some-college,Separated,Craft-repair,Own-child,White,Male,Full-time,<=50K
Young-adult,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,Full-time,<=50K
Middle-age,Private,Bachelors,Divorced,Craft-repair,Own-child,White,Female,Full-time,<=50K
Young-adult,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,Full-time,<=50K
Young-adult,Private,Some-college,Divorced,Tech-support,Not-in-family,White,Female,Full-time,<=50K
Young-adult,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,Middle,<=50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Other-service,Partner,White,Female,Part-time,<=50K
Middle-age,Local-gov,HS-grad,Never-married,Other-service,Own-child,White,Male,Full-time,<=50K
Mid-adult,Self-emp-not-inc,HS-grad,Separated,Other-service,Unmarried,White,Female,Full-time,<=50K
Middle-age,Private,Bachelors,Divorced,Exec-managerial,Unmarried,White,Female,Full-time,<=50K
Young-adult,Private,HS-grad,Married-civ-spouse,Sales,Partner,White,Male,Full-time,<=50K
Senior,State-gov,Bachelors,Married-civ-spouse,Adm-clerical,Partner,White,Male,Middle,<=50K
Mid-adult,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,Full-time,<=50K
Mid-adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Young-adult,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Male,Full-time,<=50K
Senior,Local-gov,Middle,Widowed,Other-service,Not-in-family,Black,Female,Middle,<=50K
Middle-age,Local-gov,Some-college,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Young-adult,Private,Some-college,Never-married,Transport-moving,Own-child,White,Male,Full-time,<=50K
Young-adult,Private,HS,Never-married,Handlers-cleaners,Not-in-family,White,Male,Full-time,<=50K
Middle-age,Local-gov,Masters,Divorced,Prof-specialty,Not-in-family,White,Female,Full-time,<=50K
Middle-age,Private,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Young-adult,State-gov,HS,Never-married,Other-service,Own-child,White,Male,Middle,<=50K
Mid-adult,Private,HS,Never-married,Machine-op-inspct,Not-in-family,White,Female,Full-time,<=50K
Young-adult,Private,Bachelors,Never-married,Sales,Not-in-family,Black,Male,Part-time,<=50K
Mid-adult,Federal-gov,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Female,Insanity,>50K
Middle-age,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,<=50K
Young-adult,Private,Some-college,Never-married,Sales,Own-child,White,Female,Part-time,<=50K
Young-adult,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,Part-time,<=50K
Mid-adult,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,Full-time,<=50K
Middle-age,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Partner,White,Male,Full-time,<=50K
Young-adult,State-gov,Some-college,Never-married,Prof-specialty,Not-in-family,White,Male,Part-time,<=50K
Senior,Private,HS-grad,Widowed,Adm-clerical,Unmarried,White,Female,Part-time,<=50K
Mid-adult,Private,Some-college,Married-civ-spouse,Tech-support,Partner,White,Male,Insanity,>50K
Middle-age,Private,Masters,Divorced,Sales,Not-in-family,White,Female,Full-time,<=50K
Young-adult,Private,Some-college,Never-married,Sales,Own-child,White,Male,Full-time,<=50K
Mid-adult,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Male,Full-time,<=50K
Mid-adult,Private,HS,Married-civ-spouse,Transport-moving,Partner,White,Male,Insanity,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Partner,White,Male,Full-time,<=50K
Young-adult,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,Middle,<=50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,Full-time,<=50K
Young-adult,Private,Some-college,Never-married,Other-service,Own-child,White,Male,Middle,<=50K
Young-adult,State-gov,Bachelors,Married-civ-spouse,Tech-support,Partner,White,Male,Middle,<=50K
Middle-age,Private,HS-grad,Married-civ-spouse,Sales,Partner,White,Male,Full-time,<=50K
Middle-age,Private,Some-college,Never-married,Machine-op-inspct,Unmarried,Black,Female,Full-time,<=50K
Mid-adult,Self-emp-not-inc,HS,Married-civ-spouse,Machine-op-inspct,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Young-adult,Private,Assoc-voc,Never-married,Tech-support,Unmarried,Black,Female,Full-time,<=50K
Young-adult,Private,Some-college,Never-married,Exec-managerial,Own-child,White,Female,Full-time,<=50K
Mid-adult,Private,HS-grad,Married-spouse-absent,Priv-house-serv,Other-relative,Black,Female,Full-time,<=50K
Mid-adult,Local-gov,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Female,Full-time,<=50K
Middle-age,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Partner,White,Male,Insanity,<=50K
Middle-age,Private,Bachelors,Divorced,Adm-clerical,Unmarried,White,Female,Middle,<=50K
Middle-age,Private,Assoc-voc,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Mid-adult,Private,HS-grad,Never-married,Protective-serv,Not-in-family,White,Male,Insanity,<=50K
Mid-adult,Private,HS,Married-civ-spouse,Machine-op-inspct,Partner,White,Male,Full-time,<=50K
Mid-adult,Self-emp-not-inc,Bachelors,Divorced,Other-service,Unmarried,Black,Male,Full-time,>50K
Child,Private,HS,Never-married,Other-service,Own-child,White,Male,Middle,<=50K
Young-adult,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,Middle,<=50K
Mid-adult,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,Full-time,<=50K
Mid-adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,Some-college,Divorced,Exec-managerial,Unmarried,White,Female,Full-time,<=50K
Senior,Private,HS,Divorced,Farming-fishing,Not-in-family,White,Male,Full-time,<=50K
Mid-adult,State-gov,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,Part-time,<=50K
Middle-age,Federal-gov,Bachelors,Divorced,Adm-clerical,Unmarried,White,Female,Full-time,<=50K
Middle-age,Private,Some-college,Married-civ-spouse,Tech-support,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Young-adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Middle-age,Private,Some-college,Married-civ-spouse,Exec-managerial,Partner,White,Male,Insanity,>50K
Young-adult,Private,Some-college,Married-civ-spouse,Adm-clerical,Partner,Amer-Indian-Eskimo,Female,Full-time,<=50K
Mid-adult,State-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,Full-time,<=50K
Senior,Private,HS,Divorced,Sales,Unmarried,White,Female,Full-time,<=50K
Middle-age,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Farming-fishing,Partner,White,Male,Insanity,>50K
Young-adult,Private,Some-college,Never-married,Transport-moving,Own-child,White,Male,Full-time,<=50K
Young-adult,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,Full-time,<=50K
Young-adult,Private,HS-grad,Married-civ-spouse,Transport-moving,Partner,White,Male,Full-time,<=50K
Young-adult,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,Full-time,<=50K
Young-adult,Private,Some-college,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Mid-adult,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Female,Middle,>50K
Middle-age,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,Middle,<=50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,Some-college,Divorced,Other-service,Unmarried,White,Female,Full-time,<=50K
Middle-age,Private,HS,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Middle-age,Private,Bachelors,Divorced,Craft-repair,Own-child,White,Female,Part-time,<=50K
Mid-adult,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Partner,Asian-Pac-Islander,Male,Middle,>50K
Mid-adult,Private,Some-college,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,Some-college,Divorced,Craft-repair,Own-child,Black,Male,Full-time,<=50K
Middle-age,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,Full-time,<=50K
Young-adult,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,Full-time,<=50K
Mid-adult,Private,Masters,Married-civ-spouse,Prof-specialty,Partner,White,Male,Middle,>50K
Mid-adult,Self-emp-not-inc,Some-college,Divorced,Farming-fishing,Not-in-family,White,Male,Full-time,<=50K
Middle-age,Self-emp-not-inc,Masters,Married-civ-spouse,Farming-fishing,Partner,White,Male,Full-time,>50K
Middle-age,State-gov,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Young-adult,Local-gov,HS-grad,Never-married,Craft-repair,Other-relative,Black,Female,Full-time,<=50K
Middle-age,Private,Bachelors,Divorced,Exec-managerial,Own-child,White,Female,Full-time,<=50K
Mid-adult,Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,Full-time,<=50K
Senior,Private,Some-college,Divorced,Other-service,Not-in-family,White,Male,Insanity,<=50K
Mid-adult,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,Full-time,<=50K
Mid-adult,Private,Assoc-voc,Divorced,Other-service,Unmarried,White,Female,Full-time,<=50K
Young-adult,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,Full-time,<=50K
Mid-adult,Local-gov,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,Part-time,<=50K
Young-adult,Private,Some-college,Never-married,Sales,Own-child,Black,Male,Middle,<=50K
Middle-age,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Partner,White,Female,Part-time,<=50K
Young-adult,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Female,Full-time,<=50K
Senior,Private,HS-grad,Married-civ-spouse,Sales,Partner,White,Male,Part-time,<=50K
Young-adult,Private,HS-grad,Divorced,Machine-op-inspct,Own-child,White,Female,Full-time,<=50K
Senior,State-gov,HS,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Young-adult,Self-emp-not-inc,Bachelors,Never-married,Exec-managerial,Other-relative,White,Male,Full-time,<=50K
Young-adult,Private,Some-college,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,<=50K
Young-adult,Private,HS-grad,Never-married,Exec-managerial,Other-relative,White,Male,Full-time,<=50K
Young-adult,Private,Bachelors,Married-civ-spouse,Transport-moving,Partner,White,Male,Full-time,>50K
Young-adult,Private,HS,Never-married,Other-service,Own-child,White,Male,Middle,<=50K
Middle-age,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Female,Full-time,>50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Partner,Black,Male,Full-time,<=50K
Young-adult,Private,Assoc-voc,Divorced,Adm-clerical,Not-in-family,White,Female,Middle,<=50K
Middle-age,Private,HS-grad,Married-civ-spouse,Transport-moving,Partner,White,Male,Full-time,<=50K
Middle-age,State-gov,HS-grad,Married-civ-spouse,Transport-moving,Partner,White,Male,Middle,>50K
Middle-age,Private,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Male,Full-time,<=50K
Young-adult,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Female,Full-time,<=50K
Mid-adult,Private,Some-college,Married-civ-spouse,Other-service,Partner,Other,Male,Full-time,<=50K
Middle-age,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,Some-college,Married-civ-spouse,Other-service,Partner,White,Female,Middle,<=50K
Middle-age,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Not-in-family,White,Male,Full-time,<=50K
Mid-adult,State-gov,Masters,Married-civ-spouse,Exec-managerial,Partner,White,Male,Middle,<=50K
Young-adult,Local-gov,HS-grad,Never-married,Handlers-cleaners,Other-relative,White,Male,Full-time,<=50K
Middle-age,Federal-gov,HS-grad,Married-civ-spouse,Transport-moving,Partner,White,Male,Insanity,<=50K
Middle-age,Private,Some-college,Married-civ-spouse,Exec-managerial,Partner,Black,Female,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Adm-clerical,Partner,White,Male,Full-time,<=50K
Middle-age,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,Some-college,Never-married,Tech-support,Unmarried,White,Female,Full-time,<=50K
Young-adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Partner,White,Male,Insanity,>50K
Mid-adult,Local-gov,Some-college,Never-married,Adm-clerical,Own-child,White,Female,Middle,<=50K
Mid-adult,Private,Elementary,Married-civ-spouse,Handlers-cleaners,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,HS-grad,Divorced,Craft-repair,Own-child,White,Male,Full-time,<=50K
Middle-age,Local-gov,Bachelors,Separated,Prof-specialty,Not-in-family,White,Male,Full-time,>50K
Young-adult,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,Full-time,<=50K
Young-adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Partner,White,Male,Full-time,>50K
Young-adult,Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,Full-time,<=50K
Middle-age,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,Black,Female,Full-time,>50K
Middle-age,State-gov,Assoc-voc,Married-civ-spouse,Tech-support,Partner,White,Male,Full-time,>50K
Mid-adult,Private,HS-grad,Married-spouse-absent,Machine-op-inspct,Unmarried,White,Female,Full-time,<=50K
Young-adult,Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,Full-time,<=50K
Young-adult,State-gov,Some-college,Never-married,Protective-serv,Own-child,White,Male,Full-time,<=50K
Middle-age,Local-gov,Masters,Divorced,Prof-specialty,Not-in-family,White,Male,Full-time,<=50K
Mid-adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,<=50K
Middle-age,Federal-gov,Bachelors,Married-civ-spouse,Protective-serv,Partner,White,Male,Full-time,>50K
Young-adult,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,Full-time,<=50K
Middle-age,Private,HS-grad,Widowed,Other-service,Unmarried,White,Female,Full-time,<=50K
Middle-age,State-gov,HS-grad,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Young-adult,Private,Preschool,Never-married,Other-service,Own-child,White,Male,Middle,<=50K
Middle-age,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,<=50K
Middle-age,Private,HS,Married-civ-spouse,Machine-op-inspct,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,Masters,Married-civ-spouse,Prof-specialty,Partner,White,Male,Middle,>50K
Mid-adult,Private,Some-college,Married-civ-spouse,Sales,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,Doctorate,Divorced,Prof-specialty,Unmarried,White,Female,Insanity,<=50K
Middle-age,Private,Assoc-acdm,Married-civ-spouse,Transport-moving,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,Assoc-voc,Never-married,Handlers-cleaners,Own-child,White,Male,Full-time,<=50K
Young-adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Middle-age,Self-emp-not-inc,HS-grad,Widowed,Craft-repair,Not-in-family,White,Female,Middle,<=50K
Young-adult,Private,Some-college,Never-married,Farming-fishing,Own-child,White,Male,Full-time,<=50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Partner,White,Female,Full-time,>50K
Middle-age,Private,HS,Married-civ-spouse,Machine-op-inspct,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Craft-repair,Partner,Black,Male,Full-time,<=50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Tech-support,Partner,White,Male,Full-time,<=50K
Young-adult,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,Full-time,<=50K
Senior,Private,Assoc-acdm,Divorced,Other-service,Not-in-family,White,Female,Full-time,<=50K
Mid-adult,Local-gov,Assoc-voc,Never-married,Protective-serv,Not-in-family,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Widowed,Sales,Not-in-family,White,Female,Middle,>50K
Middle-age,Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,Middle,<=50K
Young-adult,Local-gov,Bachelors,Never-married,Exec-managerial,Own-child,White,Female,Part-time,<=50K
Mid-adult,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,Full-time,<=50K
Middle-age,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,Full-time,<=50K
Mid-adult,Private,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Male,Full-time,>50K
Mid-adult,Federal-gov,HS-grad,Divorced,Tech-support,Unmarried,White,Female,Full-time,<=50K
Young-adult,Private,HS,Married-civ-spouse,Protective-serv,Partner,Black,Female,Full-time,<=50K
Mid-adult,Private,Assoc-acdm,Never-married,Adm-clerical,Not-in-family,White,Female,Full-time,<=50K
Middle-age,Private,HS-grad,Married-civ-spouse,Adm-clerical,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Some-college,Never-married,Other-service,Not-in-family,White,Male,Full-time,<=50K
Mid-adult,Private,Some-college,Separated,Machine-op-inspct,Own-child,White,Male,Full-time,<=50K
Mid-adult,State-gov,Middle,Married-civ-spouse,Handlers-cleaners,Partner,White,Male,Part-time,<=50K
Young-adult,Private,HS-grad,Married-civ-spouse,Other-service,Partner,White,Female,Middle,<=50K
Young-adult,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,Full-time,<=50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Protective-serv,Partner,White,Male,Insanity,<=50K
Middle-age,Private,HS-grad,Divorced,Sales,Unmarried,White,Female,Full-time,>50K
Middle-age,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Partner,White,Male,Insanity,>50K
Mid-adult,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Young-adult,Private,Some-college,Never-married,Other-service,Own-child,White,Male,Part-time,<=50K
Middle-age,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Partner,Black,Male,Full-time,>50K
Young-adult,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Female,Full-time,<=50K
Mid-adult,State-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,Full-time,<=50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Young-adult,Local-gov,Bachelors,Never-married,Prof-specialty,Own-child,Amer-Indian-Eskimo,Male,Middle,<=50K
Mid-adult,Private,Some-college,Never-married,Prof-specialty,Not-in-family,Black,Female,Full-time,<=50K
Mid-adult,State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,Full-time,<=50K
Young-adult,Private,HS,Never-married,Transport-moving,Own-child,White,Male,Part-time,<=50K
Middle-age,Private,HS,Divorced,Handlers-cleaners,Unmarried,White,Female,Full-time,<=50K
Middle-age,State-gov,HS-grad,Married-civ-spouse,Protective-serv,Partner,White,Male,Full-time,<=50K
Middle-age,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Partner,White,Male,Full-time,<=50K
Young-adult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Partner,White,Female,Full-time,<=50K
Middle-age,Private,Assoc-acdm,Never-married,Adm-clerical,Not-in-family,White,Female,Full-time,<=50K
Young-adult,Private,Some-college,Never-married,Handlers-cleaners,Own-child,Asian-Pac-Islander,Male,Middle,<=50K
Mid-adult,Private,Some-college,Separated,Other-service,Unmarried,Asian-Pac-Islander,Female,Full-time,<=50K
Young-adult,Private,Some-college,Never-married,Priv-house-serv,Not-in-family,White,Female,Part-time,<=50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Partner,White,Male,Full-time,<=50K
Mid-adult,Self-emp-not-inc,Bachelors,Married-civ-spouse,Craft-repair,Partner,White,Male,Middle,<=50K
Mid-adult,Private,Masters,Married-civ-spouse,Tech-support,Partner,White,Male,Part-time,<=50K
Senior,Private,Some-college,Married-civ-spouse,Protective-serv,Partner,White,Male,Full-time,<=50K
Middle-age,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,<=50K
Child,Private,HS,Never-married,Other-service,Own-child,White,Female,Part-time,<=50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Partner,Amer-Indian-Eskimo,Male,Full-time,>50K
Middle-age,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,Full-time,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Partner,White,Male,Full-time,<=50K
Middle-age,Private,HS,Divorced,Craft-repair,Not-in-family,White,Male,Full-time,<=50K
Middle-age,Private,Some-college,Separated,Adm-clerical,Unmarried,Black,Female,Full-time,<=50K
Middle-age,Private,Masters,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Mid-adult,Private,HS-grad,Separated,Craft-repair,Not-in-family,White,Male,Full-time,<=50K
Mid-adult,Self-emp-not-inc,Bachelors,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Partner,White,Female,Full-time,<=50K
Middle-age,Self-emp-not-inc,Assoc-acdm,Married-spouse-absent,Farming-fishing,Unmarried,Amer-Indian-Eskimo,Male,Full-time,<=50K
Mid-adult,Private,HS,Divorced,Craft-repair,Unmarried,White,Male,Full-time,<=50K
Middle-age,Private,HS-grad,Divorced,Craft-repair,Own-child,White,Male,Full-time,<=50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Young-adult,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,Full-time,<=50K
Young-adult,Private,HS,Never-married,Other-service,Unmarried,Black,Female,Middle,<=50K
Mid-adult,Private,HS-grad,Separated,Adm-clerical,Own-child,Asian-Pac-Islander,Female,Full-time,<=50K
Mid-adult,Private,Some-college,Divorced,Sales,Unmarried,White,Female,Full-time,<=50K
Young-adult,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,Part-time,<=50K
Young-adult,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,Full-time,<=50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
